Tune_name,do,re,me,mi,fa,fi,so,la,le,te,ti,Other
grey_eagle.krn.diss_A.txt,,18,,8,4,,,36,,,4,
griffenfeldt.krn.diss_A.txt,16,16,,4,16,,8,8,,8,,
grub_springs.krn.diss_A.txt,,40,,,,,4,12,,,,
guizers_march.krn.diss_A.txt,10,4,,6,8,,4,4,,,2,
hairy_dogleaf.krn.diss_A.txt,10,,,22,,,20,20,,,4,
hamsters_in_the_pantry.krn.diss_A.txt,20,24,,20,4,,,10,,,,
hand_me_down_the_tackle.krn.diss_A.txt,,16,,24,8,,,12,,,12,
handsome_young_maidens.krn.diss_A.txt,8,10,,,24,,,,,,8,
happy_hollow.krn.diss_A.txt,12,24,,8,24,,,26,,,,
hardimans_fancy.krn.diss_A.txt,4,2,,,16,,20,,,10,,
hare.krn.diss_A.txt,20,12,,4,16,,,24,,,8,
hare2.krn.diss_A.txt,,8,,12,16,,8,24,,,16,
hava_na-jig-ilah.krn.diss_A.txt,4,2,,,10,,16,,12,8,,2
haymakers_hoedown.krn.diss_A.txt,,20,,,,,8,32,,,,
heather_mccarthy.krn.diss_A.txt,12,10,,24,8,,8,,,,,
heavens_to_betsy.krn.diss_A.txt,,18,,4,4,,4,12,,,2,8
hector_macdonalds_reel.krn.diss_A.txt,4,,,4,12,,,24,,4,,
helena_reel.krn.diss_A.txt,8,10,,4,,4,,28,,,14,
hens_feet_and_carrots.krn.diss_A.txt,,,,4,8,,,4,,,16,
hey_little_girl_do_what_i_tell_you.krn.diss_A.txt,4,28,,4,4,,,28,,,,
high_part_of_the_road.krn.diss_A.txt,12,4,,8,12,,,12,,,,
high_reel.krn.diss_A.txt,,,,16,24,,6,8,,4,,
high_road_to_linton.krn.diss_A.txt,8,16,,12,4,,4,16,,8,,
hills_of_sharon.krn.diss_A.txt,12,16,,,,,4,4,,,,
hole_in_the_hedge.krn.diss_A.txt,,28,,8,,,,,,,,
hollow_poplar.krn.diss_A.txt,4,24,,12,6,,,12,,,12,
home_with_the_girls_in_the_morning.krn.diss_A.txt,12,4,8,,12,,24,16,,,,
homeward_bound.krn.diss_A.txt,4,36,,8,,,,24,,,,
hommage_a_arthur_marcel_et_phylias_pigeon_alternate.krn.diss_A.txt,,6,16,,20,,,,,,,4
hommage_a_edmond_parizeau.krn.diss_A.txt,8,13,,17,24,,,6,,,,
hommage_a_gilles_laprise.krn.diss_A.txt,8,16,,16,38,,,,,,4,4
